PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,SUNTIK,PIL,KONDOM,IMPLAN,IUD,VASEKTOMI,TUBEKTOMI,MAL,PUS,PUS_KB,PUS_TIDAK_KB,PB,PA,MKJP,KBPP,UNMET_NEED,BULAN,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TAPPILINA,40,21,4,26,2,0,2,0,134,,13,,95,30,,9.70149253731343,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TOPOYO,319,239,16,128,41,1,18,3,1722,,235,,877,188,,13.6469221835075,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TUMBU,160,69,2,44,11,1,8,1,458,,34,,297,64,,7.4235807860262,JANUARI,
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,WAEPUTEH,131,27,9,84,8,0,3,0,387,,44,,275,95,,11.3695090439276,JANUARI,
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,BAMBAIRA,83,39,6,101,7,0,12,0,484,,69,,251,120,,14.2561983471074,JANUARI,
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,KALUKU NANGKA,138,64,5,66,8,0,12,0,479,,81,,293,86,,16.9102296450939,JANUARI,
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,KASOLOANG,58,26,1,63,13,0,12,0,348,,70,,173,88,,20.1149425287356,JANUARI,
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,TAMPAURE,106,61,2,57,4,0,12,0,326,,37,,243,73,,11.3496932515337,JANUARI,
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,BAMBALAMOTU,189,109,4,88,23,0,28,0,690,,91,,441,139,,13.1884057971015,JANUARI,
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,KALOLA,128,114,0,206,10,0,19,2,727,,70,,482,235,,9.62861072902338,JANUARI,
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,PANGIANG,122,60,8,13,11,0,5,0,395,,71,,220,29,,17.9746835443038,JANUARI,
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,POLEWALI,117,108,1,61,18,0,13,0,591,,118,,319,92,,19.9661590524535,JANUARI,
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,RANDOMAYANG,161,69,1,128,11,0,39,0,661,,80,,422,178,,12.1028744326778,JANUARI,
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,WULAI,64,76,1,99,4,0,11,0,364,,25,,255,114,,6.86813186813187,JANUARI,
SULAWESI BARAT,PASANGKAYU,BARAS,BALANTI,219,41,1,60,9,1,10,0,448,,17,,341,80,,3.79464285714286,JANUARI,
SULAWESI BARAT,PASANGKAYU,BARAS,BARAS,69,28,0,29,3,0,2,0,287,,88,,131,34,,30.6620209059233,JANUARI,
SULAWESI BARAT,PASANGKAYU,BARAS,BULU PARIGI,65,11,3,56,3,0,0,0,239,,53,,138,59,,22.1757322175732,JANUARI,
SULAWESI BARAT,PASANGKAYU,BARAS,KASANO,258,27,1,63,3,0,1,0,608,,126,,353,67,,20.7236842105263,JANUARI,
SULAWESI BARAT,PASANGKAYU,BARAS,MOTU,225,99,5,101,34,0,32,0,923,,191,,497,167,,20.6933911159263,JANUARI,
SULAWESI BARAT,PASANGKAYU,BARAS,TOWONI,60,33,2,12,3,1,2,0,169,,14,,113,18,,8.28402366863906,JANUARI,
SULAWESI BARAT,PASANGKAYU,BULU TABA,BUKIT HARAPAN,58,24,0,34,5,1,2,0,213,,32,,124,42,,15.0234741784038,JANUARI,
SULAWESI BARAT,PASANGKAYU,BULU TABA,KARAVE,115,43,4,62,10,0,7,0,379,,36,,263,79,,9.49868073878628,JANUARI,
SULAWESI BARAT,PASANGKAYU,BULU TABA,KASTABUANA,112,15,0,28,7,0,7,0,257,,15,,170,42,,5.83657587548638,JANUARI,
SULAWESI BARAT,PASANGKAYU,BULU TABA,LELEJAE,78,30,14,38,11,0,12,0,228,,9,,184,61,,3.94736842105263,JANUARI,
SULAWESI BARAT,PASANGKAYU,BULU TABA,LILIMORI,140,36,10,90,16,0,14,0,461,,77,,306,120,,16.7028199566161,JANUARI,
SULAWESI BARAT,PASANGKAYU,BULU TABA,OMPI,60,23,2,7,2,0,1,0,128,,5,,95,10,,3.90625,JANUARI,
SULAWESI BARAT,PASANGKAYU,BULU TABA,SUMBER SARI,26,7,0,2,0,0,0,0,40,,2,,35,2,,5,JANUARI,
SULAWESI BARAT,PASANGKAYU,DAPURANG,BENGGAULU,123,67,0,55,4,0,15,0,519,,96,,264,74,,18.4971098265896,JANUARI,
