PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,LUAS_WILAYAH,JUMLAH_PENDUDUK,KEPADATAN_PENDUDUK,KRS,BPJS,IDM
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,POLEWALI,1.01,5771,5713.86,377,339,
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,SULEWATANG,9.79,4088,417.57,300,892,
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,TAKATIDUNG,4.5,5607,1246,386,686,
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,WATTANG,0.71,4076,5740.85,266,906,
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,BANATO REJO,2.95,1998,677.29,164,153,
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,BATU,7.88,1128,143.15,106,873,
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,BUSSU,8.27,1178,142.44,71,461,
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,DAKKA,7.45,1811,243.09,109,111,
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,JAMBU MALEA,3.02,1649,546.03,103,864,
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,KALIMBUA,19.81,1364,68.85,81,575,
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,KURRAK,13.3,577,43.38,69,551,
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,PALATTA,11.87,1601,134.88,112,401,
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,PELITAKAN,3.86,1744,451.81,115,765,
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,RAPPANG,6.46,2162,334.67,180,663,
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,RISO,20.5,2221,108.34,198,143,
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,TAPANGO,9.31,2492,267.67,157,125,
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,TAPANGO BARAT,6.01,1560,259.57,128,225,
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,TUTTULA,6.82,917,134.46,56,229,
