PROVINSI,KABUPATEN,KECAMATAN,KODE,KELURAHAN,Jumlah_Penduduk,Umur 0 - 1,Umur 2 - 4,Umur 5 - 9,Umur 10 - 14,Umur 15 - 19,Umur 20 - 24,Umur 25 - 29,Umur 30 - 34,Umur 35 - 39,Umur 40 - 44,Umur 45 - 49,Umur 50 - 54,Umur 55 - 59,Umur 60 - 64,Umur 65 - 69,Umur 70 - 74,Umur 75+
SULAWESI BARAT,PASANGKAYU,SARJO,2001,SARJO,1162,0,57,90,149,149,124,92,67,102,86,80,53,23,25,28,23,14
SULAWESI BARAT,PASANGKAYU,SARJO,2002,MAPONU,540,0,20,47,50,72,48,44,49,40,41,44,30,14,24,8,4,5
SULAWESI BARAT,PASANGKAYU,SARJO,2003,LETAWA,936,0,57,79,119,126,103,68,47,84,57,63,47,25,13,22,9,17
SULAWESI BARAT,PASANGKAYU,SARJO,2004,SARUDE,1061,0,50,93,94,109,125,88,86,83,74,69,59,40,33,20,19,19
SULAWESI BARAT,PASANGKAYU,LARIANG,2001,PARABU,494,0,37,43,51,54,45,42,41,31,47,26,35,22,10,3,3,4
SULAWESI BARAT,PASANGKAYU,LARIANG,2002,KENANGAN,241,0,9,20,23,25,33,19,13,13,18,28,20,6,3,3,2,6
SULAWESI BARAT,PASANGKAYU,LARIANG,2003,BAJAWALI,410,0,22,33,26,36,45,39,30,24,31,31,34,25,17,3,3,11
SULAWESI BARAT,PASANGKAYU,LARIANG,2004,SINGGANI,674,0,36,91,70,65,68,43,54,64,50,42,36,23,13,11,5,3
SULAWESI BARAT,PASANGKAYU,LARIANG,2005,KULU,331,0,16,30,41,31,31,29,29,36,22,15,18,21,7,2,0,3
SULAWESI BARAT,PASANGKAYU,LARIANG,2006,BATU MATORU,417,0,24,45,40,47,60,32,31,25,36,32,20,13,4,4,1,3
SULAWESI BARAT,PASANGKAYU,LARIANG,2007,BAMBAKORO,549,0,36,63,73,65,58,49,35,36,40,24,24,22,10,2,5,7
SULAWESI BARAT,MAMUJU,MAMUJU,1002,BINANGA,6576,135,306,535,631,678,598,566,563,548,510,402,380,262,176,115,81,90
SULAWESI BARAT,MAMUJU,MAMUJU,1003,MAMUNYU,2819,38,159,310,292,284,282,255,238,247,188,156,121,90,52,35,29,43
SULAWESI BARAT,MAMUJU,MAMUJU,1012,KAREMA,4196,42,178,390,469,429,386,349,364,383,378,252,251,152,85,39,22,27
SULAWESI BARAT,MAMUJU,MAMUJU,1013,RIMUKU,3870,50,183,389,407,367,368,282,306,362,333,237,215,142,110,56,34,29
SULAWESI BARAT,MAMUJU,MAMUJU,2005,BAMBU,2468,70,177,293,230,284,254,198,200,170,154,104,125,67,62,36,19,25
SULAWESI BARAT,MAMUJU,MAMUJU,2006,KARAMPUANG,1607,29,87,147,163,180,185,104,133,125,95,98,82,39,44,33,28,35
SULAWESI BARAT,MAMUJU,MAMUJU,2010,TADUI,1643,41,102,169,152,192,209,136,114,112,103,89,92,42,42,14,20,14
SULAWESI BARAT,MAMUJU,MAMUJU,2014,BATU PANNU,719,30,56,81,79,71,86,51,72,50,29,37,34,14,11,7,7,4
SULAWESI BARAT,MAMUJU,TAPALANG,1001,GALUNG,1391,26,61,124,152,177,144,93,78,97,109,96,89,47,39,26,14,19
SULAWESI BARAT,MAMUJU,TAPALANG,1002,KASAMBANG,1300,29,79,127,124,173,147,95,84,88,93,80,64,39,26,18,22,12
SULAWESI BARAT,MAMUJU,TAPALANG,1014,DAYANGINNA,739,0,27,51,68,83,96,57,52,64,55,58,52,25,15,16,12,8
SULAWESI BARAT,MAMUJU,TAPALANG,2003,OROBATU,544,0,27,49,52,51,58,31,45,47,47,34,26,26,19,13,10,9
SULAWESI BARAT,MAMUJU,TAPALANG,2006,TAKANDEANG,1182,33,82,130,123,129,129,84,82,67,73,71,72,47,17,16,9,18
SULAWESI BARAT,MAMUJU,TAPALANG,2009,BELA,234,0,22,35,31,33,23,19,15,12,11,11,3,5,6,2,1,5
SULAWESI BARAT,MAMUJU,TAPALANG,2010,TAAN,1611,32,98,148,178,234,190,110,103,109,102,97,77,49,35,19,11,19
SULAWESI BARAT,MAMUJU,TAPALANG,2011,TAMPALANG,1086,0,36,109,112,135,106,90,78,85,73,69,68,28,33,22,20,22
SULAWESI BARAT,MAMUJU,TAPALANG,2012,RANTEDODA,409,0,17,32,50,69,50,38,27,38,33,22,15,3,3,6,5,1
SULAWESI BARAT,MAMUJU,TAPALANG,2013,KOPEANG,324,7,17,20,28,56,45,22,20,18,18,26,16,13,8,4,2,4
SULAWESI BARAT,MAMUJU,KALUKKU,1001,SINYONYOI,2582,11,119,243,262,298,318,229,182,197,181,174,109,87,73,38,33,28
SULAWESI BARAT,MAMUJU,KALUKKU,1002,BEBANGA,3757,93,238,414,424,406,377,301,321,271,247,181,158,109,90,58,32,37
SULAWESI BARAT,MAMUJU,KALUKKU,1003,KALUKKU,2192,10,79,176,214,237,250,195,160,187,174,152,136,88,44,42,23,25
SULAWESI BARAT,MAMUJU,KALUKKU,1014,SINYONYOI SELATAN,1977,31,103,188,205,225,213,147,155,152,149,112,96,73,50,37,15,26
SULAWESI BARAT,MAMUJU,KALUKKU,2004,SONDOANG,1066,6,46,105,143,149,112,89,86,82,62,52,42,25,28,20,10,9
SULAWESI BARAT,MAMUJU,KALUKKU,2005,BERU-BERU,2549,62,154,278,251,226,238,224,210,202,172,154,142,80,66,43,19,28
SULAWESI BARAT,MAMUJU,KALUKKU,2006,BELANG BELANG,1666,45,92,186,215,161,161,133,131,132,119,92,74,56,33,15,11,10
SULAWESI BARAT,MAMUJU,KALUKKU,2007,KABULOANG,1778,30,124,190,188,180,151,142,138,143,114,109,90,61,45,33,12,28
SULAWESI BARAT,MAMUJU,KALUKKU,2008,KEANG,2178,15,81,194,231,283,317,211,163,135,134,122,100,82,53,23,13,21
SULAWESI BARAT,MAMUJU,KALUKKU,2009,POKKANG,1045,11,60,101,107,107,129,91,71,78,81,77,50,38,24,8,2,10
