PROVINSI,KABUPATEN,KECAMATAN,KODE,KELURAHAN,Jumlah_Penduduk,Umur 0 - 1,Umur 2 - 4,Umur 5 - 9,Umur 10 - 14,Umur 15 - 19,Umur 20 - 24,Umur 25 - 29,Umur 30 - 34,Umur 35 - 39,Umur 40 - 44,Umur 45 - 49,Umur 50 - 54,Umur 55 - 59,Umur 60 - 64,Umur 65 - 69,Umur 70 - 74,Umur 75+
SULAWESI BARAT,PASANGKAYU,LARIANG,2005,KULU,383,0,21,44,41,49,42,30,27,25,27,19,16,16,11,11,2,2
SULAWESI BARAT,PASANGKAYU,LARIANG,2006,BATU MATORU,445,0,19,43,49,51,58,43,28,19,32,28,36,16,14,5,1,3
SULAWESI BARAT,PASANGKAYU,LARIANG,2007,BAMBAKORO,584,0,32,62,73,75,63,56,40,35,39,24,33,18,18,7,4,5
SULAWESI BARAT,MAMUJU,MAMUJU,1002,BINANGA,6693,120,315,618,724,687,631,540,549,546,513,365,353,246,181,141,82,82
SULAWESI BARAT,MAMUJU,MAMUJU,1003,MAMUNYU,2984,41,189,344,291,330,275,228,262,242,244,151,126,72,76,47,31,35
SULAWESI BARAT,MAMUJU,MAMUJU,1012,KAREMA,4368,55,212,522,531,461,397,316,302,331,331,274,271,163,90,65,23,24
SULAWESI BARAT,MAMUJU,MAMUJU,1013,RIMUKU,3843,41,198,418,444,372,329,303,248,322,337,218,212,138,130,80,24,29
SULAWESI BARAT,MAMUJU,MAMUJU,2005,BAMBU,2560,89,176,282,288,285,257,230,210,176,133,120,105,82,51,22,22,32
SULAWESI BARAT,MAMUJU,MAMUJU,2006,KARAMPUANG,1644,33,90,143,169,199,172,140,149,116,104,95,87,45,31,19,28,24
SULAWESI BARAT,MAMUJU,MAMUJU,2010,TADUI,1728,46,119,155,191,225,204,145,120,112,107,87,77,52,42,22,14,10
SULAWESI BARAT,MAMUJU,MAMUJU,2014,BATU PANNU,741,11,55,90,77,86,78,69,70,50,38,28,38,18,14,6,7,6
SULAWESI BARAT,MAMUJU,TAPALANG,1001,GALUNG,1411,19,68,135,150,192,148,116,86,88,91,79,88,64,35,28,9,15
